heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
105.374035241193,1115501996919194_right,1115501996919194_right,-7.30397816863675,112.752363681793,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
103.778890135665,9024494094304685_right,9024494094304685_right,-7.30354717641254,112.753983736038,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
105.763828499855,1130182701835114_right,1130182701835114_right,-7.30258409352105,112.750298380852,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
105.496002004538,1830918487735380_right,1830918487735380_right,-7.30346736299208,112.750421762466,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
278.195621480807,1142749347582488_right,1142749347582488_right,-7.29892861637526,112.751441001892,1,,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
286.828130876614,3889558867940845_right,3889558867940845_right,-7.3030682956761,112.75389790535,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
105.495993245406,28486412547623786_right,28486412547623786_right,-7.30320131815435,112.752733826637,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
288.575454249582,1119311559885691_right,1119311559885691_right,-7.30407394463013,112.750695347786,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
193.390253131329,1133534021743387_right,1133534021743387_right,-7.30155183662679,112.749123573303,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
308.101110877392,1110408480303618_right,1110408480303618_right,-7.29877430882254,112.750325202942,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
269.999999803156,909664144612629_right,909664144612629_right,-7.29991299088978,112.750309109688,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
110.133433756505,1111984267049566_right,1111984267049566_right,-7.3023393317926,112.749440073967,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
119.008339423729,551688291022878_right,551688291022878_right,-7.30390367618324,112.749633193016,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
286.069074769676,593781550269018_right,593781550269018_right,-7.30227548088487,112.75425195694,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
290.709949635412,3844406342555305_right,3844406342555305_right,-7.30302040757424,112.748538851738,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
105.135600113659,581368854762821_right,581368854762821_right,-7.30375469123904,112.751526832581,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
274.118909163822,1119003763060225_right,1119003763060225_right,-7.30220098814767,112.750523686409,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
92.0621014964203,958604628932479_right,958604628932479_right,-7.29837523731864,112.754493355751,1,,data/mapillary_images_new/t7ONjKynz6e5I4fvDqAYBW/right
109.684209489227,1352840972794804_right,1352840972794804_right,-7.30319067635754,112.752707004547,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
200.618014920787,566666659498863_right,566666659498863_right,-7.30195622620948,112.748994827271,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
9.38692541914969,571817959169965_right,571817959169965_right,-7.3033981913495,112.754396796227,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
104.494097180708,1317227765980234_right,1317227765980234_right,-7.30359506445797,112.750888466835,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
105.185993882518,2085887315177710_right,2085887315177710_right,-7.30104102821012,112.751521468163,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
285.495993044067,1636237120335194_right,1636237120335194_right,-7.3032119599509,112.749182581902,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
296.751995689644,606877581711524_right,606877581711524_right,-7.29935961305092,112.748935818672,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
281.041446704671,1717641782136247_right,1717641782136247_right,-7.30253620536733,112.7518004179,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
261.804337602812,1359067498427179_right,1359067498427179_right,-7.30116340944645,112.74992287159,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
166.863182886695,979935290660406_right,979935290660406_right,-7.30413779528099,112.748404741287,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
291.010082656845,1667040520864177_right,1667040520864177_right,-7.30059407036693,112.751483917236,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
187.70298815571,1161950708824657_right,1161950708824657_right,-7.29972675803968,112.750743627548,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
278.195658267206,1503466293662255_right,1503466293662255_right,-7.30096653526728,112.753238081932,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
284.146415868756,9223011344417871_right,9223011344417871_right,-7.30193494255636,112.752846479416,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
18.2954482582998,977820904247819_right,977820904247819_right,-7.30166889680676,112.754874229431,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
286.988337059589,1754103258711531_right,1754103258711531_right,-7.30221162996803,112.753940820694,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
105.048003411026,446797115169133_right,446797115169133_right,-7.30257345170955,112.753554582596,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
119.946393933769,9296076033776416_right,9296076033776416_right,-7.30411651173172,112.748388648033,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
204.838706950632,815136030728348_right,815136030728348_right,-7.29917337997043,112.750153541565,1,,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
17.6834348982571,8627048880756076_right,8627048880756076_right,-7.30145073917397,112.754922509193,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
272.0621141365,1088270429703255_right,1088270429703255_right,-7.30121661866916,112.754514813423,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
280.387273982611,1358908231795403_right,1358908231795403_right,-7.30195622620948,112.752900123596,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
102.190674917376,1163771751785970_right,1163771751785970_right,-7.30099313989115,112.751199603081,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
106.631890143058,1099196448202634_right,1099196448202634_right,-7.30228612270345,112.749166488647,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
